sample_id,image_path,domain,condition,task,question,answer,pair_id
synthetic/000_small_clear,synthetic/000_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,4HHV,000
synthetic/000_tiny_clear,synthetic/000_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,4HHV,000
synthetic/001_small_clear,synthetic/001_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,HCKX,001
synthetic/001_tiny_clear,synthetic/001_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,HCKX,001
synthetic/002_small_clear,synthetic/002_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,LZH4,002
synthetic/002_tiny_clear,synthetic/002_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,LZH4,002
synthetic/003_small_clear,synthetic/003_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,FAVH,003
synthetic/003_tiny_clear,synthetic/003_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,FAVH,003
synthetic/004_small_clear,synthetic/004_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,JFNH,004
synthetic/004_tiny_clear,synthetic/004_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,JFNH,004
synthetic/005_small_clear,synthetic/005_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,PTSN,005
synthetic/005_tiny_clear,synthetic/005_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,PTSN,005
synthetic/006_small_clear,synthetic/006_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,TZUC,006
synthetic/006_tiny_clear,synthetic/006_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,TZUC,006
synthetic/007_small_clear,synthetic/007_small_clear.png,synthetic,small_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,YAKX,007
synthetic/007_tiny_clear,synthetic/007_tiny_clear.png,synthetic,tiny_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,YAKX,007
synthetic/008_large_clear,synthetic/008_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,ZBVG,
synthetic/009_large_clear,synthetic/009_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,WPH9,
synthetic/010_large_clear,synthetic/010_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,GNZ8,
synthetic/011_large_clear,synthetic/011_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,C54T,
synthetic/012_large_clear,synthetic/012_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,EMWE,
synthetic/013_large_clear,synthetic/013_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,QCHL,
synthetic/014_large_clear,synthetic/014_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,6CJS,
synthetic/015_large_clear,synthetic/015_large_clear.png,synthetic,large_clear,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,T9VX,
synthetic/016_small_low_contrast,synthetic/016_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,9RMY,
synthetic/017_small_low_contrast,synthetic/017_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,D5LF,
synthetic/018_small_low_contrast,synthetic/018_small_low_contrast.png,synthetic,small_low_contrast,code,Read the exact four-character code inside the red outlined box. Answer with only the four characters.,XXYM,
